class_id,class_key,name_ko,current_food_code,candidate_1_code,candidate_1_name,candidate_1_score,candidate_2_code,candidate_2_name,candidate_2_score,candidate_3_code,candidate_3_name,candidate_3_score
0,white_rice,흰밥(공기밥),,D704-212000000-0001,흰죽,0.50,D701-083000000-0001,팥밥,0.50,D701-023000000-0001,알밥,0.50
1,brown_rice,현미밥,D501-050000000-0001,D701-050000000-0001,현미밥,1.00,D601-050000000-0001,현미밥,1.00,D501-050000000-0001,현미밥,1.00
2,gimbap,김밥,D101-007000000-0001,D701-007000000-0001,김밥,1.00,D501-007000000-0001,김밥,1.00,D101-007000000-0001,김밥,1.00
3,bibimbap,비빔밥,D501-018000000-0001,D701-018000000-0001,비빔밥,1.00,D601-018000000-0001,비빔밥,1.00,D501-018000000-0001,비빔밥,1.00
4,bokkeumbap,볶음밥,D101-017000000-0001,D301-017000000-0002,볶음밥,1.00,D101-017000000-0001,볶음밥,1.00,D701-017630000-0001,볶음밥_햄,1.00
5,deopbap,덮밥,,D301-051000000-0001,회덮밥,1.00,D701-060000000-0001,낙지 덮밥,1.00,D601-080000000-0001,장어 덮밥,1.00
6,curry_rice,카레라이스,D101-044000000-0001,D101-044000000-0001,카레라이스,1.00,D501-044580000-0001,카레라이스_두부,1.00,D401-044480000-0001,카레라이스_채소,1.00
7,omurice,오므라이스,D501-028000000-0001,D701-028000000-0001,오므라이스,1.00,D601-028000000-0001,오므라이스,1.00,D501-028000000-0001,오므라이스,1.00
8,ramyeon,라면,D503-148000000-0001,D703-148000000-0001,라면,1.00,D603-148000000-0001,라면,1.00,D503-148000000-0001,라면,1.00
9,jjajangmyeon,짜장면,D503-197000000-0001,D703-197000000-0001,짜장면,1.00,D603-197000000-0001,짜장면,1.00,D503-197000000-0001,짜장면,1.00
10,jjamppong,짬뽕,D503-172000000-0001,D703-172000000-0001,짬뽕,1.00,D603-172000000-0001,짬뽕,1.00,D503-172000000-0001,짬뽕,1.00
11,udon,우동,D503-164000000-0001,D703-164000000-0001,우동,1.00,D603-164000000-0001,우동,1.00,D503-164000000-0001,우동,1.00
12,naengmyeon,냉면,,D703-187000000-0001,물냉면,1.00,D603-187000000-0001,물냉면,1.00,D503-187000000-0001,물냉면,1.00
13,kalguksu,칼국수,D503-174000000-0001,D703-174000000-0001,칼국수,1.00,D603-174000000-0001,칼국수,1.00,D503-174000000-0001,칼국수,1.00
14,jjolmyeon,쫄면,D503-173000000-0001,D703-173000000-0001,쫄면,1.00,D603-173000000-0001,쫄면,1.00,D503-173000000-0001,쫄면,1.00
15,spaghetti,스파게티/파스타,,D203-161000000-0010,스파게티_미트 치즈 파스타,0.70,D703-161000000-0001,스파게티,0.67,D603-161000000-0001,스파게티,0.67
16,kimchi_jjigae,김치찌개,D506-266000000-0001,D706-266000000-0001,김치찌개,1.00,D606-266000000-0001,김치찌개,1.00,D506-266000000-0001,김치찌개,1.00
17,doenjang_jjigae,된장찌개,D106-275000000-0001,D606-275000000-0001,된장찌개,1.00,D106-275000000-0001,된장찌개,1.00,D706-275380000-0001,된장찌개_호박,1.00
18,sundubu_jjigae,순두부찌개,D106-291030000-0001,D506-291320000-0001,순두부찌개_모듬,1.00,D506-291270000-0001,순두부찌개_해물,1.00,D106-291030000-0001,순두부찌개_김치,1.00
19,miyeokguk,미역국,D505-223000000-0001,D705-223000000-0001,미역국,1.00,D605-223000000-0001,미역국,1.00,D505-223000000-0001,미역국,1.00
20,yukgaejang,육개장,D105-245000000-0001,D505-245000000-0001,육개장,1.00,D105-245000000-0001,육개장,1.00,D705-232000000-0001,소고기육개장,1.00
21,seolleongtang,설렁탕,D105-231000000-0001,D705-231000000-0001,설렁탕,1.00,D505-231000000-0001,설렁탕,1.00,D105-231000000-0001,설렁탕,1.00
22,gomtang,곰탕,D505-203000000-0001,D705-203000000-0001,곰탕,1.00,D605-203000000-0001,곰탕,1.00,D505-203000000-0001,곰탕,1.00
23,galbitang,갈비탕,D505-199000000-0001,D705-199000000-0001,갈비탕,1.00,D605-199000000-0001,갈비탕,1.00,D505-199000000-0001,갈비탕,1.00
24,samgyetang,삼계탕,D505-228000000-0001,D705-228000000-0001,삼계탕,1.00,D605-228000000-0001,삼계탕,1.00,D505-228000000-0001,삼계탕,1.00
25,doenjangguk,된장국,,D705-285000000-0001,무 된장국,1.00,D605-305000000-0001,쑥 된장국,1.00,D605-285000000-0001,무 된장국,1.00
