id,class_key,name_ko,priority,target_images,available_images,aihub_names,match_scores,status,food_code,notes
0,white_rice,흰밥(공기밥),P0,1000,0,,,empty,,
1,brown_rice,현미밥,P1,1000,0,,,empty,,
2,gimbap,김밥,P0,1000,2780,스팸김밥|꼬마김밥|땡초김밥|멸치김밥|새우김밥|누드김밥|충무김밥|돈가스김밥|땡초멸치김밥|빨간참치김밥,스팸김밥:0.90|꼬마김밥:0.90|땡초김밥:0.90|멸치김밥:0.90|새우김밥:0.90|누드김밥:0.90|충무김밥:0.90|돈가스김밥:0.89|땡초멸치김밥:0.88|빨간참치김밥:0.88,ok,,
3,bibimbap,비빔밥,P0,1000,780,돌솥비빔밥|멍게비빔밥|꼬막비빔밥|우삼겹비빔밥,돌솥비빔밥:1.00|멍게비빔밥:0.91|꼬막비빔밥:0.91|우삼겹비빔밥:0.90,ok,,
4,bokkeumbap,볶음밥,P0,1000,690,게살볶음밥|나시고랭볶음밥,게살볶음밥:0.91|나시고랭볶음밥:0.91,ok,,
5,deopbap,덮밥,P0,1000,1790,돈부리덮밥|연어회덮밥|낙지덮밥|참치마요덮밥|훈제연어덮밥|치킨마요덮밥|칠리새우덮밥,돈부리덮밥:0.91|연어회덮밥:0.91|낙지덮밥:0.90|참치마요덮밥:0.88|훈제연어덮밥:0.88|치킨마요덮밥:0.88|칠리새우덮밥:0.88,ok,,
6,curry_rice,카레라이스,P1,1000,870,카레우동|카레컵밥|카레고로케,카레우동:0.90|카레컵밥:0.90|카레고로케:0.89,ok,,
7,omurice,오므라이스,P1,1000,0,,,empty,,
8,ramyeon,라면,P0,1000,3130,냉라멘|시오라멘|미소라멘|소유라멘|차슈라멘|해물라면|만두라면|돈코츠라멘|떡만두라면,냉라멘:0.92|시오라멘:0.90|미소라멘:0.90|소유라멘:0.90|차슈라멘:0.90|해물라면:0.90|만두라면:0.90|돈코츠라멘:0.89|떡만두라면:0.89,ok,,
9,jjajangmyeon,짜장면,P0,1000,290,쟁반짜장|삼선간짜장,쟁반짜장:1.00|삼선간짜장:0.91,low,,
10,jjamppong,짬뽕,P0,1000,1790,나가사끼짬뽕|꼬막짬뽕|차돌짬뽕|쟁반짬뽕|순두부짬뽕|짬뽕 쌀국수|짬뽕차돌쌀국수,나가사끼짬뽕:1.00|꼬막짬뽕:0.90|차돌짬뽕:0.90|쟁반짬뽕:0.90|순두부짬뽕:0.89|짬뽕 쌀국수:0.88|짬뽕차돌쌀국수:0.88,ok,,
11,udon,우동,P1,1000,800,냉우동|크림우동|유부우동|새우튀김우동,냉우동:0.92|크림우동:0.90|유부우동:0.90|새우튀김우동:0.88,ok,,
12,naengmyeon,냉면,P0,1000,800,중화냉면|진주냉면|코다리냉면,중화냉면:1.00|진주냉면:0.90|코다리냉면:0.89,ok,,
13,kalguksu,칼국수,P0,1000,1460,칼국수|팥칼국수|추어칼국수|얼큰칼국수|바지락칼국수,칼국수:1.00|팥칼국수:0.93|추어칼국수:0.91|얼큰칼국수:0.91|바지락칼국수:0.90,ok,,
14,jjolmyeon,쫄면,P1,1000,0,,,empty,,
15,spaghetti,스파게티/파스타,P1,1000,3210,오일파스타|로제파스타|빠네로제파스타|새우로제파스타|새우오일파스타|까르보나라파스타|까르보나라떡볶이|봉골레파스타|새우토마토스파게티,오일파스타:1.00|로제파스타:1.00|빠네로제파스타:0.92|새우로제파스타:0.92|새우오일파스타:0.92|까르보나라파스타:0.91|까르보나라떡볶이:0.91|봉골레파스타:0.90|새우토마토스파게티:0.89,ok,,
16,kimchi_jjigae,김치찌개,P0,1000,120,꽁치김치찌개,꽁치김치찌개:0.92,low,,
17,doenjang_jjigae,된장찌개,P0,1000,550,차돌된장찌개|바지락된장찌개,차돌된장찌개:0.92|바지락된장찌개:0.91,ok,,
18,sundubu_jjigae,순두부찌개,P0,1000,280,해물순두부찌개,해물순두부찌개:0.92,low,,
19,miyeokguk,미역국,P0,1000,270,황태미역국,황태미역국:0.91,low,,
20,yukgaejang,육개장,P0,1000,760,황태닭개장|황태육개장,황태닭개장:0.91|황태육개장:0.91,ok,,
21,seolleongtang,설렁탕,P0,1000,0,,,empty,,
22,gomtang,곰탕,P1,1000,670,나주곰탕|황태닭곰탕,나주곰탕:0.90|황태닭곰탕:0.89,ok,,
23,galbitang,갈비탕,P0,1000,0,,,empty,,
24,samgyetang,삼계탕,P1,1000,390,반계탕,반계탕:1.00,low,,
25,doenjangguk,된장국,P1,1000,0,,,empty,,
26,egg_soup,계란국,P1,1000,0,,,empty,,
27,kongnamulguk,콩나물국,P1,1000,0,,,empty,,
28,budae_jjigae,부대찌개,P0,1000,380,황태부대찌개,황태부대찌개:0.92,low,,
29,maeuntang,매운탕,P1,1000,1440,해천탕|해신탕|우럭매운탕|광어매운탕,해천탕:1.00|해신탕:1.00|우럭매운탕:0.91|광어매운탕:0.91,ok,,
30,samgyeopsal,삼겹살구이,P0,1000,440,삼겹살스테이크,삼겹살스테이크:0.89,low,,
31,moksal,목살구이,P1,1000,0,,,empty,,
