id,class_key,name_ko,old_status,old_images,in_model,rematch_status,rematch_images,top_matches
0,white_rice,흰밥(공기밥),empty,0,False,candidate,2420,나시고랭볶음밥:390:0.92|돈부리덮밥:330:0.92|멍게비빔밥:320:0.92|닭갈비컵밥:280:0.92|불고기컵밥:280:0.92|참소라초밥:280:0.92|땡초김밥:270:0.92|새우김밥:270:0.92
1,brown_rice,현미밥,empty,0,False,none,0,
7,omurice,오므라이스,empty,0,False,none,0,
14,jjolmyeon,쫄면,empty,0,False,none,0,
21,seolleongtang,설렁탕,empty,0,False,none,0,
23,galbitang,갈비탕,empty,0,False,none,0,
25,doenjangguk,된장국,empty,0,False,none,0,
26,egg_soup,계란국,empty,0,False,none,0,
27,kongnamulguk,콩나물국,empty,0,False,none,0,
31,moksal,목살구이,empty,0,False,none,0,
41,fish_cutlet,생선까스,empty,0,False,none,0,
42,tteokgalbi,떡갈비,empty,0,False,none,0,
43,bossam,보쌈,empty,0,False,none,0,
46,fried_egg,계란후라이,empty,0,False,none,0,
47,scrambled_egg,스크램블에그,empty,0,False,none,0,
49,kkakdugi,깍두기,empty,0,False,none,0,
50,oi_sobagi,오이무침,empty,0,False,none,0,
51,spinach_namul,시금치나물,empty,0,False,none,0,
52,bean_sprout_namul,콩나물무침,empty,0,False,candidate,450,황태콩나물해장국:250:0.92|콩나물불고기(콩불):200:0.92
53,fernbrake_namul,고사리나물,empty,0,False,none,0,
54,anchovy_bokkeum,멸치볶음,empty,0,False,none,0,
55,potato_jorim,감자조림,empty,0,False,none,0,
56,quail_egg_jorim,메추리알장조림,empty,0,False,none,0,
70,soondae_gukbap,순대국밥,empty,0,False,none,0,
72,kimbap_triangle,삼각김밥,empty,0,False,none,0,
73,convenience_lunchbox,도시락,empty,0,False,none,0,
74,apple,사과,very_low,69,False,weak,51,사과주스:51:0.92
77,grape,포도,very_low,78,False,weak,60,청포도에이드:60:0.92
79,watermelon,수박,very_low,81,False,weak,78,수박주스:78:0.92
82,yogurt,요거트,very_low,81,False,weak,63,플레인요거트스무디:63:0.92
84,soy_milk,두유,empty,0,False,none,0,
88,soda,탄산음료,empty,0,False,none,0,
89,ion_drink,이온음료,empty,0,False,none,0,
91,jeon_kimchi,김치전,empty,0,False,none,0,
92,jeon_pajeon,파전/해물파전,empty,0,False,none,0,
97,jjigae_cheonggukjang,청국장찌개,empty,0,False,none,0,
98,bibim_naengmyeon,비빔냉면,empty,0,False,none,0,
99,fruit_cup,컵과일,empty,0,False,none,0,
